start	end	text
0	340	Thank you.
40120	41960	All right everyone, let us get started.
44120	49740	Ok, so just a quick reminder like a homework 1 is due on Friday and homework 2 will also
49740	51040	be released on the same day.
51840	57800	Also I have posted some notes about midterm 1 on campus wire, so please make sure you take
57800	58680	a look at that post.
58680	64860	So, in particular it is your midterm your first midterm is the time range March 4th to March
64860	65120	6th.
65240	71220	So, you can pick like any available slots on CBTF in this time range for your midterm and
71220	73040	the reservation will start tomorrow.
73240	77120	So, like tomorrow onwards you could like reserve a slot on on prairie test.
77780	81840	And your syllabus will include everything up to and including global states.
81840	87440	So, basically like up to like what the portion covered as part of homework 1.
87440	89480	And yeah.
91100	95020	So, Balticat onwards is not part of the midterm and syllabus.
96180	99280	And just a quick note that CBTF does not allow cheat sheets.
99420	103680	I would have liked you all to have the option of making your own cheat sheets.
103680	105960	But CBTF does not support that option.
106340	111920	So, we will provide an abridged version of the slides as a reference cheat sheet during
111920	112400	the exam.
112400	117000	And this cheat sheet has been linked to my campus via post as well for prior reference.
117620	122280	And as also in my post, make sure that you study well for the exam and you don't just
122280	123260	rely on the cheat sheet.
123460	126700	It's something I discussed during the first lecture itself.
128080	131940	If like the cheat sheet is just for like you know quick reference or maybe like some formula.
132040	136500	Like just to kind of avoid memorizing stiff stuff.
136800	141360	Like but you need to make sure that you know all the concepts well.
141760	145260	And they cannot just like you know you basically it's a 50 minute long exam.
145380	149280	So, you won't have time to like you know just go and refer to the cheat sheet for each
149280	150100	and every little thing.
151280	152320	It's a pretty long.
152480	154480	The cheat sheet just basically covers all the slides.
154480	160100	So, if you rely on referring too much to the cheat sheet during the exam you may not have
160100	160920	enough time for that.
161100	162660	So, make sure you study well.
162760	163800	You know the concepts well.
164080	167760	Also the exam questions will not just be like direct application of the formula that
167760	168700	is written in the cheat sheet.
168860	171540	It will require you to have a good understanding of the concept.
171740	176360	So, in the past I've seen that like, something I was also mentioning last time.
176440	182520	So like last year actually the average score on my exams for similar difficulty level were
182520	184040	lower than what they were the year before.
184140	187900	So, the year before I didn't have any cheat sheet and it was a few bit lower last time.
188020	191960	So, I felt that you know people might have fallen into the trap of relying too much on the cheat
191960	192280	sheet.
193280	195740	So, please don't fall into that trap.
199340	205820	CBTF will provide scratch papers and calculators and please make sure you check out all of the
205820	206660	CBTF rules.
206880	208920	They have been linked on my campus via post.
209380	210360	Any questions?
210360	210660	Yeah.
216720	220740	So, homework one might not be graded before the exam, but we will release the solution
220740	221920	once we're done with the deadline.
222260	222700	Yeah.
223200	223960	Any other questions?
235320	242420	If you're working on MP0 grading, it may not be done by today as promised by Marcel, but
242420	243280	it will be done soon.
243880	247020	I mean, if you know your MP0 works, it works, right?
247100	251440	You don't need to have the MP0 graded to start working on MP1 if that's what you're worried
253100	253460	about.
253540	254300	Yeah, yeah, yeah.
254520	258880	I think there was a campus via post saying that there is some, might have created some
258880	263140	mental dependency between MP0 and MP1, but if you know your MP0 works, you're able to
263140	266860	kind of see all the logs in the centralized logger, you know it works, right?
267040	271380	So, yeah, you should be able to start working on MP1 irrespective of when you finish grading
271380	271900	MP0.
272320	276820	Grading may take some time because we'll be running your code on our cluster and making sure
276820	278060	that everything works.
278280	280440	So, yeah, it's not an instantaneous activity.
285240	285700	Okay.
286440	288340	Did my microphone stop working?
289000	290580	You can hear me at the back, right?
291340	291800	Yeah.
292060	292680	Okay, I have a question.
294800	296940	No, I announced this in the very first class.
297080	300680	There won't be any practice exam because, again, people fall into the trap of assuming
300680	305740	that whatever practice questions I've given are a template for the actual questions which
305740	308480	won't be the case and homeworks are there for practice.
309160	313780	The homework one, I am making sure that all of the materials covered as part of homework
313780	315780	one are the ones that you've been quizzed on.
315880	318960	I'm not including multicast in the midterm exam for that reason.
319820	319880	Yeah.
319880	322480	What part of homework two will be on the exam?
322760	323740	Nothing, nothing.
324020	325580	This is just what I said, right?
326700	331080	Multicast onwards is not in the, actually, okay, you don't know that, okay, homework two,
332180	335440	okay, global states has been covered as part of homework one.
335440	338160	Homework two will be multicast onwards.
338700	341760	Multicast onwards will not be part of your exam, okay?
349960	350560	Yeah.
351420	357760	Yeah, so Feb 12 is basically was the last, Feb 12 was when I finished the discussion of
357760	358320	global states.
358920	359500	Yeah.
360320	361420	That's, yeah.
361840	362680	Before that, yeah.
363100	363220	Yeah.
363220	365160	Refer to my campus via post.
365940	366380	Yeah.
367000	367240	Okay.
368100	368760	All right.
368880	369800	Any other questions?
373000	373440	Okay.
376440	377020	All right.
